Domain,Have_HTTPS,Have_At,URL_Length,URL_Depth,Redirection,http_https_Domain,Prefix_Suffix,SubDomainCount,DNS_Record,AgeOfDomain,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,Favicon,CopyRightSymbol,CopyRightYear,Domain_Around_CopyRight,LinkRatio,SSL_Domain_Name,Submit_Handler,FormMail,NonStandardPort,SubPagesCount,IndexPagesCount,MLSTagsRatio,Anchor_URL,RequestUrl,Empty_Link,visibilityMode,Label
https://appimage.github.io,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.125,1,0,0,0,18,1340,0.875,0.166667,0.764706,0,0,0
https://twixlmedia.com,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.090909,1,0,0,0,14,2150,0,0.363636,0,0,0,0
https://naesdezines.blogspot.com,0,0,32,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0.005236,1,0,0,0,156,6,1,0.549738,0.722222,0.21466,1,0
https://castanimex.blogspot.com,0,0,31,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0.014706,1,0,0,0,68,131,1,0.529412,0.945946,0.073529,1,0
https://talktoind.wordpress.com,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.04717,1,0,0,0,41,128,1,0.160377,1,0.028302,1,0
https://acl4ssr-sub.github.io,0,0,29,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
https://drip-scan.netlify.app,0,0,29,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,5,1,1,1,0,0,0
https://xacc.blogspot.com,0,0,25,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0.003663,1,0,0,0,99,348,1,0.619048,0.342723,0.007326,1,0
https://thepicturebookteachersedition.blogspot.com,0,0,50,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0.038462,1,0,0,0,19,725,1,0.589744,0.761905,0.012821,1,0
https://almost-a-technocrat.blogspot.com,0,0,40,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0.006849,1,0,0,0,90,502,1,0.157534,0.875,0,0,0
https://costumepopulare.wordpress.com,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.012019,1,0,0,0,260,1380,0.833333,0.146635,1,0.004808,1,0
https://anneeligibireyhan.blogspot.com,0,0,38,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0.00304,1,0,0,0,303,626,1,0.395137,0.466667,0.013678,1,0
https://dataonwheels.wordpress.com,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0.026786,1,0,0,0,128,536,1,0.294643,1,0.035714,1,0
https://adamjeecoaching.blogspot.com,0,0,36,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0.003322,1,0,0,0,139,4920,1,0.431894,1,0,1,0
https://stampinseasons.blogspot.com,0,0,35,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.004545,1,0,0,0,187,173,1,0.561364,0.483333,0.409091,1,0
https://wafflesye.wordpress.com,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.119048,1,0,0,0,12,1,1,0.404762,1,0.02381,1,0
https://hona-live.blogspot.com,0,0,30,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0.071429,1,0,0,0,3,1,1,0.857143,0.8,0.071429,1,0
https://buglifewave.wordpress.com,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.011655,1,0,0,0,280,322,1,0.25641,1,0,1,0
https://saezlab.github.io,0,0,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,607,1,0,0,0,0,0
https://file2.hpage.com,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,82,1,0,0,0,0,0
https://nzareblog.wordpress.com,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.04878,1,0,0,0,87,387,1,0.162602,0.888889,0.02439,1,0
https://scabmag.wordpress.com,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.217391,1,0,0,0,6,5,1,0.391304,1,0.086957,0,0
https://vtesone.wordpress.com,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.005198,1,0,0,0,552,1860,0.875,0.18815,1,0.002079,1,0
https://greenbone.github.io,0,0,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,16,1,0,0,0,0,0
https://botc-scripts.azurewebsites.net,0,0,38,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0.021978,1,0,0,0,72,1,1,0.197802,0,0.021978,0,0
https://mrmodpack.glitch.me,0,0,27,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,1,1,1,0,0,0
https://gotranscript-answer.blogspot.com,0,0,40,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0.04878,1,0,0,0,17,256,1,0.341463,0.928571,0.195122,1,0
https://websitehindi.com,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.017699,1,0,0,0,48,5290,1,0.141593,0,0.017699,0,0
https://klwalkpics.blogspot.com,0,0,31,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.003226,1,0,0,0,138,643,1,0.509677,1,0.36129,0,0
https://spwhetheem.weebly.com,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.214286,1,0,0,0,4,4,0.666667,0.357143,0,0.142857,0,0
https://glossologue.wordpress.com,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.016447,1,0,0,0,162,135,1,0.078947,1,0.009868,1,0
https://catpatches.blogspot.com,0,0,31,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.014706,1,0,0,0,47,1600,1,0.612745,0.914634,0,1,0
https://amzn.github.io,0,0,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,50,1,1,0,0,0,0
https://bigmag-free.blogspot.com,0,0,32,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0.028169,1,0,0,0,40,0,1,0.274648,1,0.021127,1,0
https://ar.wordpress.com,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0.007752,0,0
https://hero-generator.netlify.app,0,0,34,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
https://pronossimple.wordpress.com,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.05,1,0,0,0,36,0,1,0.22,1,0.03,1,0
https://murdoch-website-001.azurewebsites.net,0,0,45,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0.021277,1,0,0,0,19,0,0.5,0.712766,0.25,0.06383,0,0
https://big-kuyash.blogspot.com,0,0,31,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0.010309,1,0,0,0,82,0,1,0.56701,1,0.345361,1,0
https://tralfaz.blogspot.com,0,0,28,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0.003552,1,0,0,0,244,0,1,0.534636,0.957746,0.275311,1,0
https://animeonelink.blogspot.com,0,0,33,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
https://germinansgerminabit.blogspot.com,0,0,40,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.008929,1,0,0,0,50,0,1,0.375,1,0,0,0
